text,tactic,technique
"Monitor for contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions,",TA0003,T1546
Monitor for changes made to files that may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.,TA0003,T1546
"Monitor DLL loads by processes, specifically looking for DLLs that are not recognized or not normally loaded into a process.",TA0003,T1546
Look for abnormal process behavior that may be due to a process loading a malicious DLL.,TA0003,T1546
"Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as making network connections for Command and Control, learning details about the environment through Discovery, and conducting Lateral Movement.",TA0003,T1546
Tools such as Sysinternals Autoruns can be used to detect changes to execution triggers that could be attempts at persistence.,TA0003,T1546
Also look for abnormal process call trees for execution of other commands that could relate to Discovery actions or other techniques.,TA0003,T1546
Monitor for changes made to windows registry keys and/or values that may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.,TA0003,T1546
Monitor for newly constructed WMI Objects that may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.,TA0003,T1546
Adversaries may establish persistence by executing malicious content triggered by a file type association.,TA0003,T1546.001
"When a file is opened, the default program used to open the file (also called the file association or handler) is checked.",TA0003,T1546.001
"File association selections are stored in the Windows Registry and can be edited by users, administrators, or programs that have Registry access or by administrators using the built-in assoc utility.",TA0003,T1546.001
Applications can modify the file association for a given file extension to call an arbitrary program when a file with the given extension is opened.,TA0003,T1546.001
"System file associations are listed under HKEY_CLASSES_ROOT.[extension], for example HKEY_CLASSES_ROOT.txt.",TA0003,T1546.001
The entries point to a handler for that extension located at HKEY_CLASSES_ROOT\[handler].,TA0003,T1546.001
The various commands are then listed as subkeys underneath the shell key at HKEY_CLASSES_ROOT\[handler]\shell\[action]\command.,TA0003,T1546.001
The values of the keys listed are commands that are executed when the handler opens the file extension.,TA0003,T1546.001
Adversaries can modify these values to continually execute arbitrary commands.,TA0003,T1546.001
HKEY_CLASSES_ROOT\txtfile\shell\open\command,TA0003,T1546.001
HKEY_CLASSES_ROOT\txtfile\shell\print\command,TA0003,T1546.001
HKEY_CLASSES_ROOT\txtfile\shell\printto\command,TA0003,T1546.001
Kimsuky has a HWP document stealer module which changes the default program association in the registry to open HWP documents.,TA0003,T1546.001
SILENTTRINITY can conduct an image hijack of an .msc file extension as part of its UAC bypass process.,TA0003,T1546.001
Monitor executed commands and arguments that may establish persistence by executing malicious content triggered by a file type association.,TA0003,T1546.001
Monitor for newly executed processes that may establish persistence by executing malicious content triggered by a file type association.,TA0003,T1546.001
Collect and analyze changes to Registry keys that associate file extensions to default applications for execution and correlate with unknown process launch activity or unusual file types for that process.,TA0003,T1546.001
User file association preferences are stored under  [HKEY_CURRENT_USER]\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts and override associations configured under [HKEY_CLASSES_ROOT].,TA0003,T1546.001
Changes to a user's preference will occur under this entry's subkeys.,TA0003,T1546.001
Adversaries may establish persistence by executing malicious content triggered by user inactivity.,TA0003,T1546.002
Screensavers are programs that execute after a configurable time of user inactivity and consist of Portable Executable (PE) files with a .scr file extension.,TA0003,T1546.002
"The Windows screensaver application scrnsave.scr is located in C:\Windows\System32\, and C:\Windows\sysWOW64\  on 64-bit Windows systems, along with screensavers included with base Windows installations.",TA0003,T1546.002
The following screensaver settings are stored in the Registry (HKCU\Control Panel\Desktop\) and could be manipulated to achieve persistence:,TA0003,T1546.002
Adversaries can use screensaver settings to maintain persistence by setting the screensaver to run malware after a certain timeframe of user inactivity.,TA0003,T1546.002
SCRNSAVE.exe - set to malicious PE path,TA0003,T1546.002
ScreenSaveActive - set to '1' to enable the screensaver,TA0003,T1546.002
ScreenSaverIsSecure - set to '0' to not require a password to unlock,TA0003,T1546.002
ScreenSaveTimeout - sets user inactivity timeout before screensaver is executed,TA0003,T1546.002
Gazer can establish persistence through the system screensaver by configuring it to execute the malware.,TA0003,T1546.002
Use Group Policy to disable screensavers if they are unnecessary.,TA0003,T1546.002
Block .scr files from being executed from non-standard locations.,TA0003,T1546.002
Monitor executed commands and arguments of .scr files.,TA0003,T1546.002
Monitor newly constructed files that may establish persistence by executing malicious content triggered by user inactivity.,TA0003,T1546.002
Monitor for changes made to files that may establish persistence by executing malicious content triggered by user inactivity.,TA0003,T1546.002
Monitor newly executed processes that may establish persistence by executing malicious content triggered by user inactivity.,TA0003,T1546.002
Monitor changes to screensaver configuration changes in the Registry that may not correlate with typical user behavior.,TA0003,T1546.002
Tools such as Sysinternals Autoruns can be used to detect changes to the screensaver binary path in the Registry.,TA0003,T1546.002
Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription.,TA0003,T1546.003
"WMI can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs.",TA0003,T1546.003
"Examples of events that may be subscribed to are the wall clock time, user loging, or the computer's uptime.",TA0003,T1546.003
"Adversaries may use the capabilities of WMI to subscribe to an event and execute arbitrary code when that event occurs, providing persistence on a system.",TA0003,T1546.003
Adversaries may also compile WMI scripts into Windows Management Object (MOF) files (.mof extension) that can be used to create a malicious subscription.,TA0003,T1546.003
WMI subscription execution is proxied by the WMI Provider Host process (WmiPrvSe.exe) and thus may result in elevated SYSTEM privileges.,TA0003,T1546.003
adbupd can use a WMI script to achieve persistence.,TA0003,T1546.003
APT29 has used WMI event subscriptions for persistence.,TA0003,T1546.003
APT33 has attempted to use WMI event subscriptions to establish persistence on compromised hosts.,TA0003,T1546.003
Blue Mockingbird has used mofcomp.exe to establish WMI Event Subscription persistence mechanisms configured from a *.mof file.,TA0003,T1546.003
FIN8 has used WMI event subscriptions for persistence.,TA0003,T1546.003
Leviathan has used WMI for persistence.,TA0003,T1546.003
Mustang Panda's custom ORat tool uses a WMI event consumer to maintain persistence.,TA0003,T1546.003
PoshC2 has the ability to persist on a system using WMI events.,TA0003,T1546.003
POSHSPY uses a WMI event subscription to establish persistence.,TA0003,T1546.003
POWERTON can use WMI for persistence.,TA0003,T1546.003
RegDuke can persist using a WMI consumer that is launched every time a process named WINWORD.EXE is started.,TA0003,T1546.003
SeaDuke uses an event filter in WMI code to execute a previously dropped executable shortly after system startup.,TA0003,T1546.003
SILENTTRINITY can create a WMI Event to execute a payload for persistence.,TA0003,T1546.003
TrailBlazer has the ability to use WMI for persistence.,TA0003,T1546.003
Turla has used WMI event filters and consumers to establish persistence.,TA0003,T1546.003
"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent malware from abusing WMI to attain persistence.",TA0003,T1546.003
Prevent credential overlap across systems of administrator and privileged accounts.,TA0003,T1546.003
"By default, only administrators are allowed to connect remotely using WMI; restrict other users that are allowed to connect, or disallow all users from connecting remotely to WMI.",TA0003,T1546.003
"Monitor executed commands and arguments that can be used to register WMI persistence, such as the  Register-WmiEvent PowerShell cmdlet",TA0003,T1546.003
Monitor newly executed processes that result from the execution of subscriptions ( spawning from the WmiPrvSe.exe WMI Provider Host process).,TA0003,T1546.003
"Monitor WMI event subscription entries, comparing current WMI event subscriptions to known good subscriptions for each host.",TA0003,T1546.003
Tools such as Sysinternals Autoruns may also be used to detect WMI changes that could be attempts at persistence.,TA0003,T1546.003
"Monitor for the creation of new WMI EventFilter, EventConsumer, and FilterToConsumerBinding events.",TA0003,T1546.003
Event ID 5861 is logged on Windows 10 systems when new EventFilterToConsumerBinding events are created.,TA0003,T1546.003
Adversaries may establish persistence through executing malicious commands triggered by a user’s shell.,TA0003,T1546.004
User Unix Shells execute several configuration scripts at different points throughout the session based on events.,TA0003,T1546.004
"For example, when a user opens a command-line interface or remotely logs in (such as via SSH) a login shell is initiated.",TA0003,T1546.004
The login shell executes scripts from the system (/etc) and the user’s home directory (~/) to configure the environment.,TA0003,T1546.004
All login shells on a system use /etc/profile when initiated.,TA0003,T1546.004
"These configuration scripts run at the permission level of their directory and are often used to set environment variables, create aliases, and customize the user’s environment.",TA0003,T1546.004
"When the shell exits or terminates, additional shell scripts are executed to ensure the shell exits appropriately.",TA0003,T1546.004
Adversaries may attempt to establish persistence by inserting commands into scripts automatically executed by shells.,TA0003,T1546.004
"Using bash as an example, the default shell for most GNU/Linux systems, adversaries may add commands that launch malicious binaries into the /etc/profile and /etc/profile.d files.",TA0003,T1546.004
These files typically require root permissions to modify and are executed each time any shell on a system launches.,TA0003,T1546.004
"For user level permissions, adversaries can insert malicious commands into ~/.bash_profile, ~/.bash_login, or ~/.profile which are sourced when a user opens a command-line interface or connects remotely.",TA0003,T1546.004
"Since the system only executes the first existing file in the listed order, adversaries have used ~/.bash_profile to ensure execution.",TA0003,T1546.004
"Adversaries have also leveraged the ~/.bashrc file which is additionally executed if the connection is established remotely or an additional interactive shell is opened, such as a new tab in the command-line interface.",TA0003,T1546.004
"Some malware targets the termination of a program to trigger execution, adversaries can use the ~/.bash_logout file to execute malicious commands at the end of a session.",TA0003,T1546.004
"For macOS, the functionality of this technique is similar but may leverage zsh, the default shell for macOS 10.15+.",TA0003,T1546.004
"When the Terminal.app is opened, the application launches a zsh login shell and a zsh interactive shell.",TA0003,T1546.004
"The login shell configures the system environment using /etc/profile, /etc/zshenv, /etc/zprofile, and /etc/zlogin.",TA0003,T1546.004
The login shell then configures the user environment with ~/.zprofile and ~/.zlogin.,TA0003,T1546.004
The interactive shell uses the ~/.zshrc to configure the user environment.,TA0003,T1546.004
"Upon exiting, /etc/zlogout and ~/.zlogout are executed.",TA0003,T1546.004
"For legacy programs, macOS executes /etc/bashrc on startup.",TA0003,T1546.004
"Green Lambert can establish persistence on a compromised host through modifying the profile, login, and run command (rc) files associated with the bash, csh, and tcsh shells.",TA0003,T1546.004
Linux Rabbit maintains persistence on an infected machine through rc.local and .bashrc files.,TA0003,T1546.004
Making these files immutable and only changeable by certain administrators will limit the ability for adversaries to easily create user level persistence.,TA0003,T1546.004
Monitor executed commands and arguments that may establish persistence through executing malicious commands triggered by a user’s shell.,TA0003,T1546.004
Monitor for newly constructed files that may establish persistence through executing malicious commands triggered by a user’s shell.,TA0003,T1546.004
"For most Linux and macOS systems, a list of file paths for valid shell options available on a system are located in the /etc/shells file.",TA0003,T1546.004
"Monitor for changes to /etc/profile and /etc/profile.d, these files should only be modified by system administrators.",TA0003,T1546.004
MacOS users can leverage Endpoint Security Framework file events monitoring these specific files.,TA0003,T1546.004
Monitor newly executed processes that may establish persistence through executing malicious commands triggered by a user’s shell.,TA0003,T1546.004
Adversaries may establish persistence by executing malicious content triggered by an interrupt signal.,TA0003,T1546.005
The trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals.,TA0003,T1546.005
A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d.,TA0003,T1546.005
Adversaries can use this to register code to be executed when the shell encounters specific interrupts as a persistence mechanism.,TA0003,T1546.005
"Trap commands are of the following format trap 'command list' signals where ""command list"" will be executed when ""signals"" are received.",TA0003,T1546.005
Monitor executed commands and arguments that may establish persistence by executing malicious content triggered by an interrupt signal.,TA0003,T1546.005
Monitor for newly constructed files that may establish persistence by executing malicious content triggered by an interrupt signal.,TA0003,T1546.005
Monitor for changes made to files that may establish persistence by executing malicious content triggered by an interrupt signal.,TA0003,T1546.005
Monitor newly executed processes that may establish persistence by executing malicious content triggered by an interrupt signal.,TA0003,T1546.005
Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries.,TA0003,T1546.006
Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded.,TA0003,T1546.006
The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries (dylibs) to load during execution time.,TA0003,T1546.006
These can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies.,TA0003,T1546.006
There are tools available to perform these changes.,TA0003,T1546.006
Adversaries may modify Mach-O binary headers to load and execute malicious dylibs every time the binary is executed.,TA0003,T1546.006
"Although any changes will invalidate digital signatures on binaries because the binary is being modified, this can be remediated by simply removing the LC_CODE_SIGNATURE command from the binary so that the signature isn’t checked at load time.",TA0003,T1546.006
Monitor executed commands and arguments that may establish persistence by executing malicious content triggered by the execution of tainted binaries.,TA0003,T1546.006
Changes to binaries that do not line up with application updates or patches are also extremely suspicious.,TA0003,T1546.006
Monitor file systems for changes to application binaries and invalid checksums/signatures.,TA0003,T1546.006
"Monitor DLL/PE file events, specifically creation of these binary files as well as the loading of DLLs into processes.",TA0003,T1546.006
Look for DLLs that are not recognized or not normally loaded into a process.,TA0003,T1546.006
Monitor processes for those that may be used to modify binary headers.,TA0003,T1546.006
Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs.,TA0003,T1546.007
Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system.,TA0003,T1546.007
It contains functionality to add helper DLLs for extending functionality of the utility.,TA0003,T1546.007
The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at HKLM\SOFTWARE\Microsoft\Netsh.,TA0003,T1546.007
Adversaries can use netsh.exe helper DLLs to trigger execution of arbitrary code in a persistent manner.,TA0003,T1546.007
"This execution would take place anytime netsh.exe is executed, which could happen automatically, with another persistence technique, or if other software (ex: VPN) is present on the system that executes netsh.exe as part of its normal functionality.",TA0003,T1546.007
netsh can be used as a persistence proxy technique to execute a helper DLL when netsh.exe is executed.,TA0003,T1546.007
Monitor executed commands and arguments that may establish persistence by executing malicious content triggered by Netsh Helper DLLs.,TA0003,T1546.007
"Monitor DLL/PE file events, specifically creation of these binary files as well as the loading of DLLs into processes.",TA0003,T1546.007
Look for DLLs that are not recognized or not normally loaded into a process.,TA0003,T1546.007
It is likely unusual for netsh.exe to have any child processes in most environments.,TA0003,T1546.007
Monitor process executions and investigate any child processes spawned by netsh.exe for malicious behavior.,TA0003,T1546.007
Monitor the HKLM\SOFTWARE\Microsoft\Netsh registry key for any new or suspicious entries that do not correlate with known system files or benign software.,TA0003,T1546.007
Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.,TA0003,T1546.008
Windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the Windows logon screen).,TA0003,T1546.008
An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.,TA0003,T1546.008
"Two common accessibility programs are C:\Windows\System32\sethc.exe, launched when the shift key is pressed five times and C:\Windows\System32\utilman.exe, launched when the Windows + U key combination is pressed.",TA0003,T1546.008
"The sethc.exe program is often referred to as ""sticky keys"", and has been used by adversaries for unauthenticated access through a remote desktop login screen.",TA0003,T1546.008
"Depending on the version of Windows, an adversary may take advantage of these features in different ways.",TA0003,T1546.008
Common methods used by adversaries include replacing accessibility feature binaries or pointers/references to these binaries in the Registry.,TA0003,T1546.008
"In newer versions of Windows, the replaced binary needs to be digitally signed for x64 systems, the binary must reside in %systemdir%\, and it must be protected by Windows File or Resource Protection (WFP/WRP).",TA0003,T1546.008
The Image File Execution Options Injection debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced.,TA0003,T1546.008
"For simple binary replacement on Windows XP and later as well as and Windows Server 2003/R2 and later, for example, the program (, C:\Windows\System32\utilman.exe) may be replaced with ""cmd.exe"" (or another program that provides backdoor access).",TA0003,T1546.008
"Subsequently, pressing the appropriate key combination at the login screen while sitting at the keyboard or when connected over Remote Desktop Protocol will cause the replaced file to be executed with SYSTEM privileges.",TA0003,T1546.008
Other accessibility features exist that may also be leveraged in a similar fashion:,TA0003,T1546.008
On-Screen Keyboard: C:\Windows\System32\osk.exe,TA0003,T1546.008
Magnifier: C:\Windows\System32\Magnify.exe,TA0003,T1546.008
Narrator: C:\Windows\System32\Narrator.exe,TA0003,T1546.008
Display Switcher: C:\Windows\System32\DisplaySwitch.exe,TA0003,T1546.008
App Switcher: C:\Windows\System32\AtBroker.exe,TA0003,T1546.008
"APT29 used sticky-keys to obtain unauthenticated, privileged console access.",TA0003,T1546.008
APT3 replaces the Sticky Keys binary C:\Windows\System32\sethc.exe for persistence.,TA0003,T1546.008
APT41 leveraged sticky keys to establish persistence.,TA0003,T1546.008
Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.,TA0003,T1546.008
Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.,TA0003,T1546.008
"Empire can leverage WMI debugging to remotely replace binaries like sethc.exe, Utilman.exe, and Magnify.exe with cmd.exe.",TA0003,T1546.008
Fox Kitten has used sticky keys to launch a command prompt.,TA0003,T1546.008
Adversaries can replace accessibility features binaries with alternate binaries to execute this technique.,TA0003,T1546.008
"Identify and block potentially malicious software executed through accessibility features functionality by using application control  tools, like Windows Defender Application Control, AppLocker,   or Software Restriction Policies  where appropriate.",TA0003,T1546.008
"If possible, use a Remote Desktop Gateway to manage connections and security configuration of RDP within a network.",TA0003,T1546.008
"To use this technique remotely, an adversary must use it in conjunction with RDP.",TA0003,T1546.008
Ensure that Network Level Authentication is enabled to force the remote desktop session to authenticate before the session is created and the login screen displayed.,TA0003,T1546.008
It is enabled by default on Windows Vista and later.,TA0003,T1546.008
Monitor executed commands and arguments that may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.,TA0003,T1546.008
Command line invocation of tools capable of modifying the Registry for associated keys are also suspicious.,TA0003,T1546.008
Utility arguments and the binaries themselves should be monitored for changes.,TA0003,T1546.008
Monitor newly constructed files that may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.,TA0003,T1546.008
Monitor for changes made to files that may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.,TA0003,T1546.008
"Changes to accessibility utility binaries or binary paths that do not correlate with known software, patch cycles, , are suspicious.",TA0003,T1546.008
Monitor newly executed processes that may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.,TA0003,T1546.008
Monitor Registry keys within HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options.,TA0003,T1546.008
Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes.,TA0003,T1546.009
"Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\ are loaded into every process that calls the ubiquitously used application programming interface (API) functions CreateProcess, CreateProcessAsUser, CreateProcessWithLoginW, CreateProcessWithTokenW, or WinExec.",TA0003,T1546.009
"Similar to Process Injection, this value can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer.",TA0003,T1546.009
Malicious AppCert DLLs may also provide persistence by continuously being triggered by API activity.,TA0003,T1546.009
Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser.,TA0003,T1546.009
PUNCHBUGGY can establish using a AppCertDLLs Registry key.,TA0003,T1546.009
Adversaries install new AppCertDLL binaries to execute this technique.,TA0003,T1546.009
"Identify and block potentially malicious software executed through AppCertDLLs functionality by using application control  tools, like Windows Defender Application Control, AppLocker,   or Software Restriction Policies  where appropriate.",TA0003,T1546.009
Monitor executed commands and arguments that may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes.,TA0003,T1546.009
"Monitor DLL loads by processes, specifically looking for DLLs that are not recognized or not normally loaded into a process.",TA0003,T1546.009
Tools such as Sysinternals Autoruns may overlook AppCert DLLs as an auto-starting location.,TA0003,T1546.009
"Monitor and analyze application programming interface (API) calls that are indicative of Registry edits, such as RegCreateKeyEx and RegSetValueEx.",TA0003,T1546.009
Monitor newly executed processes that may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes.,TA0003,T1546.009
"Monitor the AppCertDLLs Registry value for modifications that do not correlate with known software, patch cycles,",TA0003,T1546.009
Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes.,TA0003,T1546.010
Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows or HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows are loaded by user32.dll into every process that loads user32.dll.,TA0003,T1546.010
"In practice this is nearly every program, since user32.dll is a very common library.",TA0003,T1546.010
"Similar to Process Injection, these values can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer.",TA0003,T1546.010
Malicious AppInit DLLs may also provide persistence by continuously being triggered by API activity.,TA0003,T1546.010
The AppInit DLL functionality is disabled in Windows 8 and later versions when secure boot is enabled.,TA0003,T1546.010
APT39 has used malware to set LoadAppInit_DLLs in the Registry key SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows in order to establish persistence.,TA0003,T1546.010
"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry key: HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll""",TA0003,T1546.010
Ramsay can insert itself into the address space of other applications using the AppInit DLL Registry key.,TA0003,T1546.010
"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32.dll.",TA0003,T1546.010
It does this by creating the following Registry keys: HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\AppInit_DLLs – %APPDATA%\Intel\ResN32.dll and HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs – 0x1.,TA0003,T1546.010
Adversaries can install new AppInit DLLs binaries to execute this technique.,TA0003,T1546.010
"Identify and block potentially malicious software executed through AppInit DLLs functionality by using application control  tools, like Windows Defender Application Control, AppLocker,   or Software Restriction Policies  where appropriate.",TA0003,T1546.010
Upgrade to Windows 8 or later and enable secure boot.,TA0003,T1546.010
Monitor executed commands and arguments that may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes.,TA0003,T1546.010
Monitor DLL loads by processes that load user32.dll and look for DLLs that are not recognized or not normally loaded into a process.,TA0003,T1546.010
Monitor and analyze application programming interface (API) calls that are indicative of Registry edits such as RegCreateKeyEx and RegSetValueEx.,TA0003,T1546.010
Monitor newly executed processes that may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes.,TA0003,T1546.010
"Monitor the AppInit_DLLs Registry values for modifications that do not correlate with known software, patch cycles,",TA0003,T1546.010
Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.,TA0003,T1546.011
The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time.,TA0003,T1546.011
"For example, the application shimming feature allows developers to apply fixes to applications (without rewriting code) that were created for Windows XP so that it will work with Windows 10.",TA0003,T1546.011
"Within the framework, shims are created to act as a buffer between the program (or more specifically, the Import Address Table) and the Windows OS.",TA0003,T1546.011
"When a program is executed, the shim cache is referenced to determine if the program requires the use of the shim database (.sdb).",TA0003,T1546.011
"If so, the shim database uses hooking to redirect the code as necessary in order to communicate with the OS.",TA0003,T1546.011
A list of all shims currently installed by the default Windows installer (sdbinst.exe) is kept in:,TA0003,T1546.011
Custom databases are stored in:,TA0003,T1546.011
"To keep shims secure, Windows designed them to run in user mode so they cannot modify the kernel and you must have administrator privileges to install a shim.",TA0003,T1546.011
"However, certain shims can be used to Bypass User Account Control (UAC and RedirectEXE), inject DLLs into processes (InjectDLL), disable Data Execution Prevention (DisableNX) and Structure Exception Handling (DisableSEH), and intercept memory addresses (GetProcAddress).",TA0003,T1546.011
"Utilizing these shims may allow an adversary to perform several malicious acts such as elevate privileges, install backdoors, disable defenses like Windows Defender,   Shims can also be abused to establish persistence by continuously being invoked by affected programs.",TA0003,T1546.011
%WINDIR%\AppPatch\sysmain.sdb and,TA0003,T1546.011
hklm\software\microsoft\windows nt\currentversion\appcompatflags\installedsdb,TA0003,T1546.011
%WINDIR%\AppPatch\custom & %WINDIR%\AppPatch\AppPatch64\Custom and,TA0003,T1546.011
hklm\software\microsoft\windows nt\currentversion\appcompatflags\custom,TA0003,T1546.011
FIN7 has used application shim databases for persistence.,TA0003,T1546.011
Pillowmint has used a malicious shim database to maintain persistence.,TA0003,T1546.011
"SDBbot has the ability to use application shimming for persistence if it detects it is running as admin on Windows XP or 7, by creating a shim database to patch services.exe.",TA0003,T1546.011
ShimRat has installed shim databases in the AppPatch folder.,TA0003,T1546.011
"Microsoft released an optional patch update - KB3045645 - that will remove the ""auto-elevate"" flag within the sdbinst.exe.",TA0003,T1546.011
This will prevent use of application shimming to bypass UAC.,TA0003,T1546.011
"Changing UAC settings to ""Always Notify"" will give the user more visibility when UAC elevation is requested, however, this option will not be popular among users due to the constant UAC interruptions.",TA0003,T1546.011
Monitor executed commands and arguments for sdbinst.exe for potential indications of application shim abuse.,TA0003,T1546.011
Monitor for changes made to files that may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.,TA0003,T1546.011
Monitor DLL loads by processes that load user32.dll and look for DLLs that are not recognized or not normally loaded into a process.,TA0003,T1546.011
Monitor newly executed processs for sdbinst.exe for potential indications of application shim abuse.,TA0003,T1546.011
There are several public tools available that will detect shims that are currently available :* Shim-Process-Scanner - checks memory of every running process for any shim flags* Shim-Detector-Lite - detects installation of custom shim databases* Shim-Guard - monitors registry for any shim installations* ShimScanner - forensic tool to find active shims in memory* ShimCacheMem - Volatility plug-in that pulls shim cache from memory (note: shims are only cached after reboot),TA0003,T1546.011
Monitor for changes to windows registry keys and/or values that may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.,TA0003,T1546.011
Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers.,TA0003,T1546.012
IFEOs enable a developer to attach a debugger to an application.,TA0003,T1546.012
"When a process is created, a debugger present in an application’s IFEO will be prepended to the application’s name, effectively launching the new process under the debugger (, C:\dbg\ntsd.exe -g  notepad.exe).",TA0003,T1546.012
IFEOs can be set directly via the Registry or in Global Flags via the GFlags tool.,TA0003,T1546.012
IFEOs are represented as Debugger values in the Registry under HKLM\SOFTWARE{\Wow6432Node}\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\ where <executable> is the binary on which the debugger is attached.,TA0003,T1546.012
"IFEOs can also enable an arbitrary monitor program to be launched when a specified program silently exits ( is prematurely terminated by itself or a second, non kernel-mode process).",TA0003,T1546.012
"Similar to debuggers, silent exit monitoring can be enabled through GFlags and/or by directly modifying IFEO and silent process exit Registry values in HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\SilentProcessExit\.",TA0003,T1546.012
"Similar to Accessibility Features, on Windows Vista and later as well as Windows Server 2008 and later, a Registry key may be modified that configures ""cmd.exe,"" or another program that provides backdoor access, as a ""debugger"" for an accessibility program (ex: utilman.exe).",TA0003,T1546.012
"After the Registry is modified, pressing the appropriate key combination at the login screen while at the keyboard or when connected with Remote Desktop Protocol will cause the ""debugger"" program to be executed with SYSTEM privileges.",TA0003,T1546.012
"Similar to Process Injection, these values may also be abused to obtain privilege escalation by causing a malicious executable to be loaded and run in the context of separate processes on the computer.",TA0003,T1546.012
Installing IFEO mechanisms may also provide Persistence via continuous triggered invocation.,TA0003,T1546.012
Malware may also use IFEO to Impair Defenses by registering invalid debuggers that redirect and effectively disable various system and security applications.,TA0003,T1546.012
SDBbot has the ability to use image file execution options for persistence if it detects it is running with admin privileges on a Windows version newer than Windows 7.,TA0003,T1546.012
SUNBURST created an Image File Execution Options (IFEO) Debugger registry value for the process dllhost.exe to trigger the installation of Cobalt Strike.,TA0003,T1546.012
TEMP.Veles has modified and added entries within HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options to maintain persistence.,TA0003,T1546.012
Monitor executed commands and arguments that may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers.,TA0003,T1546.012
